file_name,has_retry,has_sleep,has_cap,has_timeout,github_link
hadoop-yarn-cap-fp-DeviceMappingManager.java,Yes,Yes,No,Yes,https://github.com/apache/hadoop/tree//ee7d178/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/resourceplugin/deviceframework/DeviceMappingManager.java
hadoop-yarn-cap-fp-GpuDiscoverer.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-cap-fp-RMProxy.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-cap-fp-RMWebAppFilter.java,Yes,Yes,No,Yes,https://github.com/apache/hadoop/tree//ee7d178/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/webapp/RMWebAppFilter.java
hadoop-yarn-cap-tp-FederationActionRetry.java,Yes,Yes,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-common/src/main/java/org/apache/hadoop/yarn/server/federation/retry/FederationActionRetry.java
hadoop-yarn-cap-tp-TimelineCollector.java,Yes,Yes,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice/src/main/java/org/apache/hadoop/yarn/server/timelineservice/collector/TimelineCollector.java
hadoop-yarn-cap-tp-TimelineConnector.java,Yes,Yes,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/client/api/impl/TimelineConnector.java
hadoop-yarn-timeout-fp-AbstractLauncher.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-timeout-fp-AbstractProviderService.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-timeout-fp-NMProxy.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-timeout-fp-OnFailureRestartPolicy.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-timeout-fp-ServerProxy.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-timeout-fp-YarnServiceConf.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-timeout-tp-CGroupsHandlerImpl.java,No,N/A,N/A,N/A,N/A
hadoop-yarn-timeout-tp-FileSystemTimelineWriterImpl.java,Yes,Yes,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-timelineservice/src/main/java/org/apache/hadoop/yarn/server/timelineservice/storage/FileSystemTimelineWriterImpl.java
hadoop-yarn-timeout-tp-GpuResourceAllocator.java,Yes,Yes,No,Yes,https://github.com/apache/hadoop/tree//ee7d178/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-nodemanager/src/main/java/org/apache/hadoop/yarn/server/nodemanager/containermanager/linux/resources/gpu/GpuResourceAllocator.java
hadoop-yarn-timeout-tp-TimelineV2ClientImpl.java,Yes,Yes,Yes,No,https://github.com/apache/hadoop/tree//ee7d178/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/main/java/org/apache/hadoop/yarn/client/api/impl/TimelineV2ClientImpl.java
hadoop-yarn-timeout-tp-UnmanagedApplicationManager.java,No,N/A,N/A,N/A,N/A
kafka-cap-fp-AgentClient.java,No,N/A,N/A,N/A,N/A
kafka-cap-fp-DefaultEventHandler.java,No,N/A,N/A,N/A,N/A
kafka-cap-fp-GlobalStateManagerImpl.java,Yes,No,No,N/A,N/A
kafka-cap-fp-NodeManager.java,No,N/A,N/A,N/A,N/A
kafka-cap-tp-JsonRestServer.java,Yes,Yes,Yes,N/A,N/A
kafka-cap-tp-RetryUtil.java,Yes,Yes,No,Yes,N/A
kafka-timeout-fp-AdminApiDriver.java,No,N/A,N/A,N/A,N/A
kafka-timeout-tp-ConsumerManager.java,Yes,Yes,No,Yes,N/A
kafka-timeout-tp-ExpiringCredentialRefreshingLogin.java,Yes,Yes,No,N/A,N/A
kafka-timeout-tp-KafkaExactlyOnceDemo.java,Yes,Yes,No,N/A,N/A
kafka-timeout-tp-KafkaStreamsNamedTopologyWrapper.java,Yes,Yes,Yes,N/A,N/A
kafka-timeout-tp-KerberosLogin.java,Yes,Yes,Yes,N/A,N/A
kafka-timeout-tp-Retry.java,Yes,Yes,No,Yes,N/A
kafka-timeout-tp-RetryWithToleranceOperator.java,Yes,Yes,No,N/A,N/A
retry-queue_BalanceJob.java,Yes,Yes,No,N/A,N/A
retry-queue_error-code_AsyncCallHandler.java,Yes,Yes,No,N/A,N/A
retry-queue_error-code_CommitRequestManager.java,Yes,Yes,No,N/A,N/A
retry-queue_error-code_PlacementConstraintProcessor.java,Yes,No,Yes,N/A,N/A
retry-queue_error-code_TransactionMarkerChannelManager.scala,Yes,No,No,N/A,N/A
retry-queue_RSProcedureDispatcher.java,Yes,Yes,No,Yes,N/A
retry-queue_ZKSplitLogManagerCoordination.java,Yes,No,Yes,N/A,N/A
state-machine_GCMergedRegionsProcedure.java,Yes,No,No,N/A,N/A
state-machine_GCMultipleMergedRegionsProcedure.java,Yes,No,No,N/A,N/A
state-machine_GCRegionProcedure.java,Yes,No,No,N/A,N/A
state-machine_implicit-retry_KRaftMigrationDriver.java,Yes,Yes,No,N/A,N/A
state-machine_RecoverStandbyProcedure.java,Yes,No,No,N/A,N/A
state-machine_retry-queue_error-code_BrokerLifecycleManager.scala,Yes,Yes,No,N/A,N/A
state-machine_retry-queue_error-code_TransactionMarkerRequestCompletionHandler.scala,Yes,No,No,N/A,N/A
state-machine_retry-queue_TopicDeletionManager.scala,Yes,No,No,N/A,N/A
state-machine_ServerCrashProcedure.java,Yes,No,No,N/A,N/A
state-machine_SnapshotVerifyProcedure.java,Yes,Yes,No,N/A,N/A
state-machine_SplitWALProcedure.java,Yes,Yes,No,N/A,N/A
state-machine_SwitchRpcThrottleProcedure.java,Yes,Yes,No,N/A,N/A
state-machine_SyncReplicationReplayWALProcedure.java,Yes,Yes,No,N/A,N/A
state-machine_TransitPeerSyncReplicationStateProcedure.java,Yes,Yes,No,N/A,N/A
